text,emotion
I am furious and boiling with anger!,anger
This pain keeps pulling me down.,sadness
This is maddening and unacceptable!,anger
I feel euphoric and unstoppable today!,happiness
I feel lost in emotional pain.,sadness
The pressure is affecting my sleep and health.,stress
I am writing a letter to my friend.,neutral
This stupidity is making me angry!,anger
I am extremely frustrated and furious!,anger
I can't stop worrying about everything.,stress
The documents are on the shelf.,neutral
I am dancing with joy inside!,happiness
This is infuriating! I want to scream!,anger
This pain keeps haunting me.,sadness
The room is well-lit.,neutral
Feeling exuberant and full of life!,happiness
The refrigerator is stocked with food.,neutral
I can't contain my happiness right now!,happiness
I need to fix the chair in the office.,neutral
I feel like giving up sometimes.,sadness
I am smiling from the heart today!,happiness
This makes me want to yell and scream!,anger
I am checking the mailbox.,neutral
This is maddening and I want to scream!,anger
I feel deeply unhappy inside.,sadness
This is ridiculous! I am so annoyed!,anger
The package will arrive tomorrow.,neutral
I feel like smashing something!,anger
Life has never felt this amazing!,happiness
Everything around me makes me smile today!,happiness
I need to pick up my laundry.,neutral
The bus is empty right now.,neutral
My heart aches with grief.,sadness
I need to finish this assignment.,neutral
How dare they do this to me! I am furious!,anger
The workload is unbearable.,stress
The pen is on the desk.,neutral
The windows are closed.,neutral
I am so angry right now! This is unacceptable!,anger
I need to update my calendar.,neutral
This stress is affecting my health.,stress
I need to clean the bathroom.,neutral
This is provoking me immensely!,anger
I am grateful for this happy moment!,happiness
I can't breathe from all this stress.,stress
My heart feels painfully fragile.,sadness
I need to take out the trash.,neutral
I feel like collapsing from all the pressure.,stress
My heart feels painfully silent.,sadness
I feel like crying endlessly.,sadness
My heart feels broken and weak.,sadness
The car keys are on the kitchen counter.,neutral
This makes me want to shout in anger!,anger
This is so irritating! I am enraged!,anger
I am setting up my workspace.,neutral
I need to prepare my notes for the class.,neutral
Nothing feels good anymore. I am sad.,sadness
I am tense and anxious about everything.,stress
I feel lost without direction.,sadness
This tension is suffocating.,stress
I am making a shopping list.,neutral
I am livid and can't contain my anger!,anger
I am checking the weather.,neutral
My heart aches with loneliness.,sadness
Such a glorious day makes me feel ecstatic!,happiness
Sadness clouds my mind.,sadness
I feel hopeless and defeated.,sadness
I am beaming with happiness right now!,happiness
I am stressed and can't focus on anything.,stress
The sun is shining and I feel so cheerful!,happiness
I am filled with delight and joy today!,happiness
The joy I feel today is indescribable!,happiness
This is exasperating! I am so mad!,anger
This is maddening and provoking!,anger
This is ridiculous and makes me angry!,anger
This is aggravating and infuriating!,anger
I am making a cup of coffee.,neutral
I am stressed and can't focus on anything.,stress
I am mad beyond belief!,anger
I feel drained by constant sadness.,sadness
This is making me nervous wreck!,stress
This sadness feels suffocating.,sadness
I am outraged by this behavior! Unacceptable!,anger
This is infuriating beyond words!,anger
I am making notes for my assignment.,neutral
I am madder than I have ever been!,anger
This makes my blood boil with rage!,anger
Feeling joyous and thankful for everything!,happiness
I feel abandoned and alone.,sadness
The street is empty now.,neutral
I feel emotionally exhausted every day.,sadness
I am mad and can't deal with it!,anger
This pain feels unbearable.,sadness
I am enraged and can't contain it!,anger
I am irritated and enraged!,anger
I can't manage all this stress alone.,stress
I am enraged and extremely mad!,anger
I feel deeply sorrowful and broken.,sadness
I am overwhelmed with grief.,sadness
I am overjoyed and bubbling with excitement!,happiness
"Life feels amazing, and I am grateful!",happiness
I am reading a book right now.,neutral
I feel lost in my own thoughts.,sadness
I am angry and outraged!,anger
I am utterly frustrated with this nonsense!,anger
I am beyond frustrated with this situation!,anger
I am drowning in my own sadness.,sadness
This nonsense is driving me insane!,anger
The package is in the mailbox.,neutral
This sadness hurts deeply.,sadness
I need to refill the ink in the printer.,neutral
I need to water the flowers.,neutral
I feel delighted by all the beautiful moments!,happiness
I am frazzled by the workload and pressure.,stress
I am enraged and mad beyond words!,anger
I can't take this pressure anymore!,stress
I feel mentally overburdened and anxious.,stress
I am extremely annoyed and enraged!,anger
Sadness has darkened my thoughts.,sadness
This loss is too much to bear.,sadness
This sorrow weighs me down.,sadness
The classroom is on the second floor.,neutral
I feel emotionally worn out.,sadness
The traffic light is green.,neutral
I need to write a to-do list.,neutral
I am overjoyed and full of energy!,happiness
My happiness is overflowing today!,happiness
This is unacceptable and outrageous!,anger
I feel restless and pressured.,stress
I am seething with anger and frustration!,anger
The pressure is too intense! Stressed!,stress
I am extremely angry and frustrated!,anger
I am experiencing pure happiness today!,happiness
I am tired of feeling sad.,sadness
Nothing seems worth it anymore.,sadness
I feel empty and numb inside.,sadness
I am thrilled by all the good news today!,happiness
I feel completely cheerful and content today!,happiness
I feel like I'm losing control.,stress
The meeting will start in ten minutes.,neutral
The weather forecast predicts rain.,neutral
Stress is taking over my life.,stress
The meeting room is available now.,neutral
The chair is next to the table.,neutral
I am fuming over this ridiculous situation!,anger
I am extremely annoyed and angry!,anger
I am furious and completely mad!,anger
This is maddening! I can't deal with it!,anger
My heart feels so light and cheerful today!,happiness
I feel stressed and restless all the time.,stress
The package arrived this morning.,neutral
I feel deeply unhappy and lost.,sadness
This situation is so irritating I want to explode!,anger
I am updating my contact list.,neutral
I feel emotionally unstable and sad.,sadness
I feel like I am about to snap.,stress
The laptop is on the desk.,neutral
Sadness keeps pulling me down.,sadness
My heart feels constantly heavy.,sadness
This little success makes my heart sing!,happiness
Such a beautiful day fills me with happiness!,happiness
I am stressed from every responsibility.,stress
I am smiling endlessly with pure happiness!,happiness
This nonsense is intolerable! Furious!,anger
I feel exhausted by my emotions.,sadness
"I am ecstatic, thrilled, and full of bliss!",happiness
I need to water the plants.,neutral
This sadness drains all my energy.,sadness
I am jittery and can't relax at all.,stress
I am delighted beyond words today!,happiness
The door is locked.,neutral
My heart is singing with happiness!,happiness
I feel like smiling endlessly today!,happiness
This is intolerable and maddening!,anger
Everything is going wonderfully today!,happiness
I feel like I'm breaking inside.,sadness
I feel crushed by sadness.,sadness
This pain is unbearable. So depressed.,sadness
I need to write a grocery list.,neutral
This is intolerable! I am boiling mad!,anger
I feel hopeless and drained.,sadness
I feel jittery and overwhelmed.,stress
I love this so much! It makes me so joyful.,happiness
I am bubbling with excitement and happiness!,happiness
This sadness is overwhelming me.,sadness
I feel jittery and uneasy all the time.,stress
I need to organize my wardrobe.,neutral
"Life is amazing, and I am enjoying it to the fullest!",happiness
I am fuming at this situation!,anger
So delighted to hear this amazing news!,happiness
I am full of energy and happiness!,happiness
This grief feels too strong.,sadness
I can't deal with this nonsense! Furious!,anger
I am checking the weather forecast.,neutral
My nerves are shot! So anxious!,stress
The sadness is consuming me.,sadness
I am rejoicing in this wonderful moment!,happiness
This situation is making me furious!,anger
I am going to the store later today.,neutral
The clock shows 5 PM.,neutral
I need to pay my bills today.,neutral
This is infuriating and I can't tolerate it!,anger
I am cleaning the kitchen counter.,neutral
I am mentally exhausted from responsibilities.,stress
I feel hollow and drained inside.,sadness
I feel a surge of joy running through me!,happiness
I need to sweep the floor.,neutral
This makes me see red! Furious!,anger
I am furious and irritated!,anger
Absolutely fantastic! Couldn't be happier!,happiness
I am rejoicing in every beautiful moment today!,happiness
The bus timetable is displayed outside.,neutral
"Happiness surrounds me, and I feel it deeply!",happiness
Everything is falling apart. Depressed.,sadness
I am struggling with deep sorrow.,sadness
I feel emotionally exhausted.,sadness
This nonsense is driving me insane!,anger
I feel emotionally numb and cold.,sadness
This makes me so mad! I can't believe it!,anger
I feel like I can't catch a break.,stress
I am extremely angry and outraged!,anger
Tears won't stop falling. So sad.,sadness
This is provoking me! I am very angry!,anger
The bus ticket costs $2.,neutral
This is maddening beyond belief!,anger
"I am anxious, tense, and overworked.",stress
This sadness keeps pulling me down.,sadness
This situation is outrageous and maddening!,anger
I am furious and can't calm down!,anger
The document needs to be signed.,neutral
The car needs fuel.,neutral
This situation is maddening and provoking!,anger
This makes me incredibly happy and grateful!,happiness
"I feel grateful, ecstatic, and happy!",happiness
Sadness has taken control of me.,sadness
This pain feels permanent.,sadness
I feel emotionally shattered.,sadness
This situation is maddening and irritating!,anger
I am folding my laundry.,neutral
I feel overworked and mentally strained.,stress
I am furious and can't contain myself!,anger
I feel mentally exhausted and frazzled.,stress
The windows need to be cleaned.,neutral
I feel like happiness has left me.,sadness
I feel overwhelmed by despair.,sadness
My heart aches endlessly.,sadness
The car is parked outside.,neutral
I feel hopeless and miserable.,sadness
Please confirm your attendance.,neutral
I feel like exploding! So much rage!,anger
This is maddening beyond words!,anger
I am frazzled and can't think straight.,stress
I am absolutely livid about this situation!,anger
"Today is magical, and I feel so happy!",happiness
I am happy beyond words today!,happiness
This makes my blood boil uncontrollably!,anger
This situation is outrageous! I am mad!,anger
I am fuming and completely mad!,anger
I feel broken inside my chest.,sadness
I feel nervous and overworked.,stress
This sadness feels overwhelming.,sadness
I feel stressed from start to finish.,stress
"Today is magical, and my heart is full of joy!",happiness
I feel trapped in my emotions.,sadness
This makes me see red with anger!,anger
I feel shattered emotionally.,sadness
This is infuriating and I can't tolerate it!,anger
I am so happy today! Everything is going great.,happiness
This is so aggravating I could scream!,anger
The newspaper is on the table.,neutral
My heart feels painfully lonely.,sadness
I feel emotionally exhausted and empty.,sadness
I feel abandoned and forgotten.,sadness
I feel disconnected from everything.,sadness
This is keeping me up at night! Stressed!,stress
"Life is fantastic, and I feel amazing today!",happiness
I feel alive and completely happy today!,happiness
The park is near my house.,neutral
I am furious and enraged beyond measure!,anger
I need to fix the door handle.,neutral
I am enjoying the simple joys of life!,happiness
I need to check my emails again.,neutral
I am smiling with pure joy and gratitude!,happiness
I am exasperated beyond measure!,anger
I need to fold the blankets.,neutral
This moment makes me feel absolutely happy!,happiness
This makes me angry beyond reason!,anger
I am overjoyed by all the good things today!,happiness
This is beyond frustrating and infuriating!,anger
The bus stop is five minutes away.,neutral
This makes me want to break something!,anger
I am ecstatic about the wonderful news!,happiness
I feel mentally exhausted from pressure.,stress
The weather is cloudy today.,neutral
I feel blissful and completely satisfied!,happiness
This situation is intolerable and infuriating!,anger
I feel thrilled and completely joyful!,happiness
I feel so uplifted and joyful right now!,happiness
This emotional pain won’t fade.,sadness
"Life feels amazing, and I am overjoyed today!",happiness
This is intolerable and makes me angry!,anger
This is making me panic! So stressed!,stress
I feel ecstatic and full of life energy!,happiness
I feel lonely even around people.,sadness
I am basking in happiness and positivity!,happiness
I am delighted and feeling euphoric!,happiness
I am thrilled about this opportunity!,happiness
I feel like I am drowning under all this stress.,stress
My mind feels trapped in anxiety.,stress
Feeling completely satisfied and happy!,happiness
I feel anxious and mentally drained.,stress
I am enraged and mad beyond words!,anger
I feel like hitting something right now!,anger
"I feel cheerful, light-hearted, and happy!",happiness
I am mentally overburdened and anxious.,stress
I can't believe this! I am absolutely furious!,anger
I am fuming right now! How could they!,anger
I need to organize my wardrobe.,neutral
I am arranging my books on the shelf.,neutral
I feel ecstatic and thrilled about life!,happiness
The train arrives on time.,neutral
I need to set an alarm for tomorrow.,neutral
I am overjoyed and celebrating life fully!,happiness
This achievement brings me immense joy!,happiness
My heart feels painfully heavy.,sadness
This joy is spreading all around me!,happiness
My heart feels shattered and weak.,sadness
"I feel amazing, everything is working out!",happiness
I need to clean the floor.,neutral
I feel so sad and empty inside.,sadness
The elevator is working properly.,neutral
The water in the tank is clean.,neutral
What a wonderful experience! So happy!,happiness
I feel like I'm drowning in stress!,stress
This sadness feels never-ending.,sadness
I am folding the clothes.,neutral
My mind can't find peace.,stress
The clock shows 12 noon.,neutral
This makes me livid and mad!,anger
I am enjoying every single moment right now!,happiness
The shop is near the park.,neutral
My sadness feels uncontrollable.,sadness
The bus will arrive in five minutes.,neutral
This is causing me so much tension!,stress
This is beyond irritating! I am furious!,anger
My heart feels constantly heavy.,sadness
This workload is killing my peace of mind.,stress
I am overwhelmed and frazzled.,stress
I feel unseen and unheard.,sadness
I can't cope with all this stress! Help!,stress
The shoes are under the bed.,neutral
Couldn't ask for anything better! Happy!,happiness
My mind keeps racing with tension.,stress
My heart feels painfully empty.,sadness
I feel mentally exhausted and sad.,sadness
This is maddening beyond belief!,anger
I am angry beyond reason!,anger
I am so content and joyful right now!,happiness
What a perfect day to be alive and happy!,happiness
This makes me furious and enraged!,anger
I am boiling mad over this!,anger
I feel anger boiling inside me!,anger
This is beyond frustrating and unacceptable!,anger
This is so irritating it makes me mad!,anger
I feel worthless and unloved.,sadness
This makes me so mad I can't speak!,anger
Wonderful news! I am celebrating!,happiness
"Life feels magical, and I am thrilled!",happiness
This is ridiculous and makes me furious!,anger
I feel deeply hurt and disappointed.,sadness
I feel broken beyond words.,sadness
This is beyond frustrating! I am furious!,anger
Sadness consumes my thoughts.,sadness
My thoughts are consumed by anxiety.,stress
My tears come without warning.,sadness
Sadness fills my every thought.,sadness
I feel completely burnt out right now.,stress
I feel deeply alone inside.,sadness
"Life is bright, and I feel incredible today!",happiness
I am checking my schedule for the week.,neutral
I am anxious about every little thing.,stress
Sadness has numbed my soul.,sadness
I feel deeply depressed.,sadness
I am mad and completely furious!,anger
I am overjoyed and filled with positive energy!,happiness
This is completely unacceptable! I am angry!,anger
The stress is eating me alive!,stress
The lights in the room are bright.,neutral
I am mentally exhausted and tense.,stress
I am enraged beyond measure!,anger
This is provoking me and making me furious!,anger
I am enjoying life to the fullest right now!,happiness
"Today is perfect, and I am overjoyed!",happiness
I am organizing my files and folders.,neutral
I feel deeply sorrowful inside.,sadness
This makes me boil with anger!,anger
I am savoring every happy moment!,happiness
I am completely ecstatic and joyful!,happiness
I am furious and mad beyond words!,anger
I am sinking into sadness.,sadness
I am hurting so much right now.,sadness
I am boiling with anger and frustration!,anger
I am smiling because everything feels right!,happiness
The bottle is half full.,neutral
I feel uplifted and completely happy!,happiness
This is extremely frustrating and unacceptable!,anger
The phone is on the table.,neutral
I am checking my bank account.,neutral
I am preparing lunch.,neutral
I feel emotionally lost.,sadness
I feel empty despite everything.,sadness
The pressure is crushing my mind.,stress
I am radiating joy and positivity today!,happiness
This is exactly what I needed! So happy!,happiness
This is maddening and I am furious!,anger
My emotions feel too heavy to carry.,sadness
"I am so happy, my heart is smiling!",happiness
Feeling euphoric about the future ahead!,happiness
I am exasperated and seething!,anger
"Life is delightful, and I am so happy!",happiness
I need to refill my water bottle.,neutral
The elevator is currently working.,neutral
I feel deeply hurt emotionally.,sadness
I am tense and can't find relief.,stress
I feel unstoppable and full of joy!,happiness
This nonsense is intolerable and infuriating!,anger
"I feel thrilled, ecstatic, and grateful!",happiness
My heart is heavy with sorrow.,sadness
This is beyond frustrating and infuriating!,anger
I am frazzled and can't focus!,stress
I need to vacuum the carpet.,neutral
The laptop battery is low.,neutral
I am bubbling with happiness and delight!,happiness
I am enraged and can't control myself!,anger
I can't cope with all this pressure alone.,stress
I feel jittery and stressed beyond belief.,stress
I am checking the printer paper.,neutral
I can't cope with all the pressure.,stress
I am enraged and extremely frustrated!,anger
I am cleaning my desk drawer.,neutral
I am worried sick about everything!,stress
I am boiling with rage over this!,anger
I feel buried under sadness.,sadness
I am enraged and want to scream!,anger
I am stressed and can't cope with anything.,stress
Such a pleasant surprise! Makes me happy!,happiness
Feeling wonderful and excited about the future!,happiness
I am planning my schedule for tomorrow.,neutral
This is beyond irritating and unacceptable!,anger
My mind won't stop racing with stress.,stress
This is so enraging! I can't stay calm!,anger
This sorrow consumes my thoughts.,sadness
I am constantly frazzled by stress.,stress
I want to break something! So angry!,anger
I am enjoying every little joy life gives me!,happiness
I am washing my hands.,neutral
This success makes me incredibly happy!,happiness
This is outrageous and makes me angry!,anger
I feel overwhelmed by everything around me.,stress
I am brushing my teeth.,neutral
This is provoking my anger immensely!,anger
I am enraged and mad beyond measure!,anger
My heart aches with every thought.,sadness
I will go for a walk after lunch.,neutral
"Life is fantastic, and I am celebrating it!",happiness
My anxiety is through the roof! So stressed!,stress
Feeling blissful and cheerful!,happiness
I am frazzled and can't relax at all.,stress
I am glowing with joy and excitement!,happiness
My emotions feel too heavy.,sadness
This is outrageous and unacceptable!,anger
I will be working from home tomorrow.,neutral
This breaks my heart. I want to cry.,sadness
I am thrilled and bubbling with happiness!,happiness
"Such amazing things are happening, I am happy!",happiness
I need to buy a new notebook.,neutral
This is the worst feeling ever. So sad.,sadness
"I am filled with bliss, joy, and positivity!",happiness
This situation is making me furious and frustrated!,anger
I am so mad I could scream!,anger
I feel emotionally weak and fragile.,sadness
I am rejoicing in every single moment!,happiness
Please review the attached file.,neutral
I feel disconnected from happiness.,sadness
The printer is out of paper.,neutral
I feel emotionally torn apart.,sadness
Everything feels perfect and joyful today!,happiness
Happiness fills my heart to the brim!,happiness
I am trapped in this sadness.,sadness
I feel tense and on edge constantly.,stress
My spirit is soaring with happiness today!,happiness
I feel restless and unsettled.,stress
The TV is turned off.,neutral
I am mad and seething!,anger
This is so aggravating! I feel rage!,anger
This little moment brings me pure bliss!,happiness
I am fuming at this ridiculous situation!,anger
"I feel blissful, radiant, and ecstatic!",happiness
I am reading a chapter of my book.,neutral
The fridge is full of groceries.,neutral
The workload is mentally crushing me.,stress
I am enraged and upset right now!,anger
I feel lost and alone in this world.,sadness
My nerves are completely shot.,stress
This situation is absolutely maddening!,anger
I am extremely mad right now!,anger
I need to organize my workspace.,neutral
I feel delighted and euphoric inside!,happiness
I am enjoying this beautiful day immensely!,happiness
I feel mentally and emotionally exhausted.,stress
Everything seems perfect and delightful!,happiness
I am boiling over with frustration and anger!,anger
I need to organize my books.,neutral
I am enjoying every joyful moment to the fullest!,happiness
I feel forgotten and insignificant.,sadness
I am mad beyond comprehension!,anger
I feel emotionally defeated.,sadness
This situation is unbearable! I am angry!,anger
Pure bliss! I am so grateful for this!,happiness
The document is on your desk.,neutral
The stress is affecting my entire day.,stress
I need to buy some groceries.,neutral
I am mad and completely furious!,anger
I feel emotionally weak and tired.,sadness
Sadness fills my heart.,sadness
Every moment today brings me happiness!,happiness
I am overjoyed by this wonderful moment!,happiness
This is outrageous! I am mad!,anger
The calendar shows today’s date.,neutral
This stress is taking a toll on me.,stress
The computer needs to be restarted.,neutral
The train station is crowded today.,neutral
Happiness is my constant companion today!,happiness
This nonsense is driving me crazy with anger!,anger
This pain is emotionally draining.,sadness
I feel emotionally fragile and sad.,sadness
I feel anxious and under too much stress.,stress
This brings me so much joy and peace!,happiness
I am filled with positive energy and happiness!,happiness
This is utterly frustrating and maddening!,anger
I am irritated to the max right now!,anger
I am stressed beyond my limits.,stress
I am folding the laundry.,neutral
I am rejoicing in this perfect day!,happiness
I feel light-hearted and cheerful today!,happiness
I feel like I can't keep up with anything.,stress
"I feel light-hearted, cheerful, and blissful!",happiness
I can't stand this anymore! Furious!,anger
I feel mentally overwhelmed and exhausted.,stress
I can't focus due to all this anxiety.,stress
I feel mentally overworked and anxious.,stress
My heart races with stress constantly.,stress
The pressure is crushing me mentally.,stress
This sorrow keeps haunting my mind.,sadness
The calendar is updated.,neutral
Feeling radiant and full of happiness!,happiness
I am taking notes from the lecture.,neutral
Life feels joyous and fulfilling today!,happiness
I will clean my room later.,neutral
I feel completely joyful and thankful!,happiness
I feel amazing and full of energy!,happiness
This emptiness is unbearable.,sadness
So happy to see all my dreams coming true!,happiness
The bus leaves in fifteen minutes.,neutral
The cat is sleeping on the sofa.,neutral
Nothing feels comforting anymore.,sadness
I am checking my emails.,neutral
I am emotionally shattered.,sadness
I am beyond mad right now!,anger
The constant demands are overwhelming me.,stress
I can't handle all this pressure anymore.,stress
This is maddening! I can't control my anger!,anger
"I can't stop smiling, everything is perfect!",happiness
The phone is on silent mode.,neutral
I miss them so much. It hurts.,sadness
The train is delayed by ten minutes.,neutral
This situation is intolerable and maddening!,anger
This is offensive and makes me angry!,anger
I feel so joyful and at peace with life!,happiness
The store opens at 9 AM.,neutral
This situation is maddening and outrageous!,anger
This pain won’t leave me alone.,sadness
The package has been delivered.,neutral
The lecture starts at 2 PM.,neutral
The fridge has enough food for the week.,neutral
"I am so tense, I feel like I might explode.",stress
"I am thrilled, happy, and full of gratitude!",happiness
The library closes at 6 PM.,neutral
The mail has arrived this morning.,neutral
I am consumed by sadness.,sadness
The keys are on the counter.,neutral
The package was delivered yesterday.,neutral
I feel emotionally defeated.,sadness
I am cooking dinner for my family.,neutral
"Life is vibrant, and I am enjoying every moment!",happiness
The constant pressure is unbearable.,stress
I feel joyful and light as a feather!,happiness
I am stressed to the point of breaking.,stress
I am tense and frazzled beyond belief.,stress
This anxiety is suffocating me.,stress
I am thrilled to see such wonderful results!,happiness
I am so pissed off right now! Damn it!,anger
The printer is working properly now.,neutral
Feeling elated and completely thrilled!,happiness
I am enraged and fuming with anger!,anger
I am mad and extremely frustrated!,anger
I am mentally exhausted and frazzled.,stress
I feel drained and sorrowful.,sadness
I feel anxious and under too much pressure.,stress
"Life is fantastic, and I feel amazing!",happiness
Today is filled with laughter and smiles!,happiness
"Today is perfect, and I am enjoying it fully!",happiness
I am furious and boiling over!,anger
I am checking the oven temperature.,neutral
"I feel cheerful, jubilant, and filled with positive energy!",happiness
I am on edge all the time.,stress
I am drinking a cup of tea.,neutral
I feel anxious and mentally drained.,stress
Feeling blessed and content right now!,happiness
The train leaves at 3 PM.,neutral
My day is filled with smiles and laughter!,happiness
My soul is aching with sadness.,sadness
This tension is making me feel sick.,stress
I am furious beyond words!,anger
I am mad and can't calm down!,anger
I feel mentally and emotionally strained.,stress
I feel crushed by disappointment.,sadness
I am so stressed out right now! Can't handle this!,stress
I am tense and can't unwind at all.,stress
I am on edge from too much stress.,stress
This is maddening beyond belief!,anger
Sadness has taken over my emotions.,sadness
I am boiling over with frustration!,anger
This situation is intolerable and maddening!,anger
I am celebrating all the small joys of life!,happiness
I need to take my umbrella.,neutral
This is triggering my anxiety! Help!,stress
I am checking the traffic before leaving.,neutral
This pain is hard to survive.,sadness
I feel tense and mentally drained constantly.,stress
My heart aches constantly.,sadness
"Life is beautiful, and I feel incredible!",happiness
I am overflowing with joyous energy!,happiness
I feel pressured and mentally exhausted.,stress
I need to pick up groceries from the market.,neutral
The coffee machine is broken.,neutral
I feel like I am drowning in deadlines.,stress
This is unacceptable and infuriating!,anger
Nothing brings me joy anymore.,sadness
I am mad and completely frustrated!,anger
"I feel energized, happy, and exuberant!",happiness
I feel joyful and exuberant inside!,happiness
I am cooking dinner tonight.,neutral
This sorrow feels endless.,sadness
"Happiness is all around me, and I feel it deeply!",happiness
I need to pick up the kids from school.,neutral
"I feel cheerful, positive, and completely happy!",happiness
I feel drained and hopeless.,sadness
I am absolutely enraged right now!,anger
This is provoking me beyond limits!,anger
This makes me extremely angry!,anger
This wonderful moment makes me so happy!,happiness
I am experiencing immense happiness today!,happiness
"I feel delighted, cheerful, and completely content!",happiness
This is devastating. I am heartbroken.,sadness
I feel such rage right now!,anger
I am enraged and want to scream!,anger
The constant pressure is suffocating me.,stress
I feel jittery and anxious all the time.,stress
I feel tense and mentally burdened.,stress
I need to wash my car.,neutral
"I am smiling endlessly, feeling euphoric!",happiness
I am tense and worried constantly!,stress
This is provoking my rage!,anger
I am frazzled and overwhelmed by stress.,stress
I feel anxious and pressured constantly.,stress
The constant pressure is unbearable.,stress
I am making a shopping plan.,neutral
This makes my blood boil! So angry!,anger
I feel restless and on edge! Stressed!,stress
I need to charge my laptop.,neutral
The pressure is affecting my mental health.,stress
Can you pass me the salt?,neutral
I need to clean the windows.,neutral
This is too much pressure! I am overwhelmed!,stress
I need to water the plants in the garden.,neutral
The constant tension is unbearable.,stress
This is provoking me and infuriating!,anger
I am making coffee in the kitchen.,neutral
My heart is full of pain.,sadness
I am frustrated to the core!,anger
I am sending an email to my manager.,neutral
I am grieving and it feels endless.,sadness
Everything feels heavy and slow.,sadness
I feel blessed to experience this happiness!,happiness
This tension is overwhelming me.,stress
I am boiling with anger right now!,anger
I am opening the window for fresh air.,neutral
I feel emotionally crushed and tired.,sadness
I am frazzled and overwhelmed.,stress
I am furious and completely irritated!,anger
I need to charge my phone.,neutral
The bus stop is near my house.,neutral
This is intolerable! I am furious!,anger
I need to organize my desk.,neutral
My mind is in overdrive from tension.,stress
I am enraged beyond measure!,anger
I feel completely overwhelmed and anxious.,stress
This is maddening and I want to explode!,anger
The clock on the wall is ticking.,neutral
I feel stressed and under pressure all the time.,stress
This is provoking my rage immensely!,anger
This is unbelievably frustrating!,anger
I am constantly anxious and frazzled.,stress
I am freaking out! Too much to handle!,stress
I am so anxious and stressed out!,stress
This makes me want to punch something!,anger
This nonsense is driving me mad!,anger
This makes me madder than ever!,anger
I am sick and tired of this! Angry!,anger
The documents are stacked neatly.,neutral
Can you help me with this task?,neutral
I feel broken beyond repair.,sadness
I am mad and extremely upset!,anger
My pain feels invisible to others.,sadness
I am having a breakdown! So stressed!,stress
I am sorting my documents.,neutral
The train platform is empty.,neutral
I am ironing my clothes.,neutral
I feel trapped in sorrow.,sadness
I am reading the newspaper.,neutral
I am jittery and stressed out!,stress
The light in the kitchen is broken.,neutral
This sadness follows me everywhere.,sadness
The clock is running fast.,neutral
I feel broken and alone.,sadness
Please send me the report by Friday.,neutral
"Feeling bright, happy, and alive!",happiness
I can't take this any longer! Furious!,anger
I feel like I am under a mountain of stress.,stress
"I feel cheerful, blissful, and thankful!",happiness
Sadness weighs heavily on my heart.,sadness
"Happiness is in the air, and I feel it!",happiness
My tears won’t stop falling.,sadness
I am rejoicing in this beautiful experience!,happiness
This anxiety is unbearable!,stress
The appointment is scheduled for next week.,neutral
I need to schedule an appointment.,neutral
The car is clean and parked.,neutral
The keys are in my pocket.,neutral
I am mentally strained and anxious.,stress
"Everything is going my way, feeling happy!",happiness
I feel emotionally hollow and lost.,sadness
I am annoyed beyond measure!,anger
The tension is making it hard to breathe.,stress
This grief feels suffocating.,sadness
I feel overworked and stressed out.,stress
I feel like crying all the time.,sadness
I feel emotionally crushed.,sadness
I am listening to a podcast.,neutral
